DATE,TIME,DOY,DST
1/1/1998,0:00,1,-9
1/1/1998,1:00,1,-8
1/1/1998,2:00,1,-9
1/1/1998,3:00,1,-9
1/1/1998,4:00,1,-13
1/1/1998,5:00,1,-16
1/1/1998,6:00,1,-20
1/1/1998,7:00,1,-26
1/1/1998,8:00,1,-30
1/1/1998,9:00,1,-30
1/1/1998,10:00,1,-30
1/1/1998,11:00,1,-21
1/1/1998,12:00,1,-15
1/1/1998,13:00,1,-13
1/1/1998,14:00,1,-12
1/1/1998,15:00,1,-14
1/1/1998,16:00,1,-17
1/1/1998,17:00,1,-18
1/1/1998,18:00,1,-12
1/1/1998,19:00,1,-10
1/1/1998,20:00,1,-11
1/1/1998,21:00,1,-14
1/1/1998,22:00,1,-19
1/1/1998,23:00,1,-16
1/2/1998,0:00,2,-12
1/2/1998,1:00,2,-9
1/2/1998,2:00,2,-11
1/2/1998,3:00,2,-11
1/2/1998,4:00,2,-9
1/2/1998,5:00,2,-9
1/2/1998,6:00,2,-15
1/2/1998,7:00,2,-19
1/2/1998,8:00,2,-21
1/2/1998,9:00,2,-20
1/2/1998,10:00,2,-18
1/2/1998,11:00,2,-16
1/2/1998,12:00,2,-14
1/2/1998,13:00,2,-13
1/2/1998,14:00,2,-11
1/2/1998,15:00,2,-14
1/2/1998,16:00,2,-16
1/2/1998,17:00,2,-11
1/2/1998,18:00,2,-6
1/2/1998,19:00,2,-3
1/2/1998,20:00,2,-2
1/2/1998,21:00,2,-5
1/2/1998,22:00,2,-12
1/2/1998,23:00,2,-11
1/3/1998,0:00,3,-8
1/3/1998,1:00,3,-5
1/3/1998,2:00,3,-4
1/3/1998,3:00,3,-4
1/3/1998,4:00,3,-5
1/3/1998,5:00,3,-7
1/3/1998,6:00,3,-9
1/3/1998,7:00,3,-12
1/3/1998,8:00,3,-15
1/3/1998,9:00,3,-19
1/3/1998,10:00,3,-19
1/3/1998,11:00,3,-14
1/3/1998,12:00,3,-10
1/3/1998,13:00,3,-6
1/3/1998,14:00,3,-3
1/3/1998,15:00,3,-6
1/3/1998,16:00,3,-9
1/3/1998,17:00,3,-9
1/3/1998,18:00,3,-6
1/3/1998,19:00,3,-3
1/3/1998,20:00,3,-5
1/3/1998,21:00,3,-9
1/3/1998,22:00,3,-11
1/3/1998,23:00,3,-11
1/4/1998,0:00,4,-7
1/4/1998,1:00,4,-5
1/4/1998,2:00,4,-3
